func_name, func_id, global_name
"view_header", 30165, NULL
"get_info", 30915, NULL
"formatMailboxName", 32359, "folder_prefix"
"formatMailboxName", 32359, "trash_folder"
"formatMailboxName", 32359, "sent_folder"
"formatMailboxName", 32359, "color"
"formatMailboxName", 32359, "move_to_sent"
"formatMailboxName", 32359, "move_to_trash"
"formatMailboxName", 32359, "unseen_notify"
"formatMailboxName", 32359, "unseen_type"
"formatMailboxName", 32359, "collapse_folders"
"formatMailboxName", 32359, "draft_folder"
"formatMailboxName", 32359, "save_as_draft"
"formatMailboxName", 32359, "use_special_folder_color"
"compute_folder_children", 32788, "boxes"
"compute_folder_children", 32788, "data_dir"
"compute_folder_children", 32788, "username"
"compute_folder_children", 32788, "collapse_folders"
"create_collapse_link", 32999, "boxes"
"create_collapse_link", 32999, "imapConnection"
"create_collapse_link", 32999, "unseen_notify"
"create_collapse_link", 32999, "color"
"create_unseen_string", 33082, "boxes"
"create_unseen_string", 33082, "unseen_type"
"create_unseen_string", 33082, "color"
"create_unseen_string", 33082, "unseen_cum"
"is_parent_box", 33419, "delimiter"
"do_err", 34467, "IND"
"pf_clean_string", 37867, "data_dir"
"pf_clean_string", 37867, "username"
"pf_show_attachments", 38066, "where"
"pf_show_attachments", 38066, "what"
"pf_show_attachments", 38066, "startMessage"
"pf_show_attachments", 38066, "color"
"pf_show_attachments", 38066, "passed_ent_id"
"process_optionmode_submit", 39361, NULL
"process_optionmode_link", 39429, NULL
"print_optionpages_row", 39440, "color"
"insert_javascript", 42178, NULL
"display_result", 42188, "color"
"attachment_common_parse", 46616, "attachment_common_types"
"attachment_common_parse", 46616, "attachment_common_types_parsed"
"oh_opt", 46859, NULL
"attachSelectedMessages", 49882, "username"
"attachSelectedMessages", 49882, "attachment_dir"
"attachSelectedMessages", 49882, "startMessage"
"attachSelectedMessages", 49882, "data_dir"
"attachSelectedMessages", 49882, "composesession"
"attachSelectedMessages", 49882, "uid_support"
"attachSelectedMessages", 49882, "mailbox"
"attachSelectedMessages", 49882, "msgs"
"attachSelectedMessages", 49882, "thread_sort_messages"
"attachSelectedMessages", 49882, "allow_server_sort"
"attachSelectedMessages", 49882, "show_num"
"attachSelectedMessages", 49882, "compose_messages"
"load_optpage_data_display", 54180, "theme"
"load_optpage_data_display", 54180, "language"
"load_optpage_data_display", 54180, "languages"
"load_optpage_data_display", 54180, "js_autodetect_results"
"load_optpage_data_display", 54180, "compose_new_win"
"load_optpage_data_display", 54180, "default_use_mdn"
"load_optpage_data_display", 54180, "squirrelmail_language"
"load_optpage_data_display", 54180, "allow_thread_sort"
"load_optpage_data_display", 54180, "optmode"
"save_option_theme", 55819, "theme"
"save_option_javascript_autodetect", 55901, "data_dir"
"save_option_javascript_autodetect", 55901, "username"
"save_option_reply_prefix", 55986, "data_dir"
"save_option_reply_prefix", 55986, "username"
"save_option_reply_prefix", 55986, "new_javascript_setting"
"load_optpage_data_personal", 56070, "data_dir"
"load_optpage_data_personal", 56070, "username"
