func_id,prefix,globals
199204,charset_encode_iso_8859_7_0_,
103642,getMessage_RFC822_Attachment_1_,username;attachment_dir;data_dir;attachments;uid_support
211151,getSig_1_,
179421,mail_message_listing_beginning_0_,allow_thread_sort;auto_expunge;PHP_SELF;color;server_sort_order;thread_sort_messages;base_uri;allow_server_sort
218336,authPop_0_,
79074,delete_move_expunge_from_all_0_,sort;msgs;uid_support;mailbox;msort;imapConnection
184187,getMonthAbrv_0_,
134380,sqstripslashes_0_,
68849,mailfetch_optpage_register_block_0_,optpage_blocks
9460,replyAllString_0_,username;include_self_reply_all;data_dir;idents
216311,finalizeStream_1_,
75003,popstat_0_,
62716,spam_filters_0_,username;data_dir;SpamFilters_YourHop;SpamFilters_BulkQuery;uid_support;SpamFilters_DNScache;SpamFilters_SharedCache
204032,sq_bindtextdomain_0_,languages;sm_notAlias
220419,setEntIds_0_,
175364,remove_2_,
162006,sqimap_run_literal_command_0_,color;squirrelmail_language
109830,translate_form_dictionary_0_,
165128,sqimap_logout_0_,
185611,charset_decode_iso_8859_2_0_,
224524,findAlternativeEntity_0_,
161666,sqimap_session_id_0_,
199950,charset_encode_tis_620_0_,
158991,sqimap_get_small_header_list_0_,username;data_dir;color;uid_support;squirrelmail_language;imap_server_type;allow_server_sort
68887,mail_fetch_folderact_0_,username;data_dir
122138,abook_ldap_server_0_,
167196,map_yp_alias_0_,
120093,get_abook_sort_0_,username;data_dir
138527,walkTreeInPostOrderCreatingFoldersUnderTrash_0_,delimiter;trash_folder
130337,OneTimePadCreate_0_,
183490,getGMTSeconds_0_,
165161,sqimap_capability_0_,sqimap_capabilities
75052,uidl_0_,
134446,sq_call_function_suppress_errors_0_,
124211,find_mailbox_name_0_,
199988,unicodetotis620_0_,
83254,startcalendar_0_,color;month;year
222522,parseLiteral_0_,
178741,calc_msort_0_,internal_date_sort
212815,initStream_2_,
216392,getBcc_0_,
93068,demo_option_link_do_0_,optpage_blocks
191818,charset_decode_utf_8_0_,squirrelmail_language
136524,html_tag_0_,languages;squirrelmail_language
195924,charset_decode_iso_8859_11_0_,
202069,charset_encode_koi8_r_0_,
85335,calendar_header_0_,color;month;day;year
130393,show_readable_size_0_,
204127,sq_setlocale_0_,
132450,sm_encode_html_special_chars_0_,default_charset
161123,parse_message_entities_0_,uid_support
19812,printSearchMessages_0_,sort;color;allow_server_sort;allow_server_thread
120170,show_abook_sort_button_0_,form_url
124268,check_is_noselect_0_,
229266,getAddr_a_0_,
23918,printer_friendly_link_0_,javascript_on
73071,user_0_,
182704,handleAsSent_0_,handleAsSent_result
134517,sqsession_register_0_,
155000,decodeBASE64_0_,
202107,unicodetokoi8r_0_,
124287,readMailboxParent_0_,
230468,ContentType_0_,
144773,find_ent_id_0_,
9606,getReplyCitation_0_,reply_citation_start;reply_citation_end;reply_citation_style
136370,attachment_common_octet_stream_0_,FileExtensionToMimeType
167148,sqimap_get_user_server_0_,
228747,mlist_0_,
134544,sqsession_unregister_0_,
206228,korean_charset_xtra_0_,
154521,imap_utf7_decode_local_0_,languages;default_charset;squirrelmail_language
230808,korean_xtra_downloadfilename_0_,
177565,getServerMessages_0_,
135749,attachment_common_link_text_0_,squirrelmail_attachments_finished_handling
79264,delete_move_next_action_0_,
134565,sqsession_is_registered_0_,
130471,GenerateRandomString_0_,
216491,preWriteToStream_0_,
191921,charset_decode_iso_8859_14_0_,
85426,select_option_length_0_,
209139,__0_,gettext_php_short_circuit;gettext_php_translateStrings;squirrelmail_language;gettext_php_loaded_language;gettext_php_loaded
230302,setVar_0_,
232009,japanese_xtra_decodeheader_0_,
69051,validate_mail_fetch_port_number_0_,mail_fetch_allowable_ports
134588,sqgetGlobalVar_0_,
157117,get_thread_sort_0_,thread_new;server_sort_array;uid_support;sort_by_ref;default_charset
77251,sqspell_writeWords_0_,SQSPELL_WORDS_FILE;SQSPELL_CRYPTO
132548,cachePrefValues_1_,prefs_cache;prefs_are_cached
102305,squirrelmail_plugin_init_spamcop_0_,squirrelmail_plugin_hooks
218577,html_0_,
124372,isBoxBelow_0_,delimiter
30165,view_header_0_,
204246,charset_decode_0_,languages;default_charset;aggressive_decoding;squirrelmail_language
81368,filter_folders_0_,
216537,initStream_0_,smtp_auth_mech;use_smtp_tls
167390,plain_error_message_0_,
171489,createWidget_Submit_0_,
73186,pass_0_,
220644,parseBodyStructure_0_,
79334,delete_move_next_read_t_0_,delete_move_next_t
81148,sent_subfolders_optpage_loadhook_folders_0_,optpage_data;imapPort;imapServerAddress
13803,getAttachments_0_,username;attachment_dir;data_dir;squirrelmail_language;languages
140882,mime_print_body_lines_0_,uid_support
81390,save_option_sent_subfolders_setting_0_,username;sent_subfolders_base;data_dir;use_sent_subfolders
151464,digest_md5_response_0_,
198132,remove_1_,
120309,AddressBook_0_,
184575,getDateString_0_,invert_time;show_full_date;hour_format
79356,delete_move_next_read_b_0_,delete_move_next_b
228862,parseSpamStatus_0_,
219664,getFilename_0_,
122370,open_2_,
123478,addCheckBox_0_,
224774,getAttachments_1_,
120330,get_backend_list_0_,
24076,ServerMDNSupport_0_,
69133,validate_mail_fetch_server_address_0_,mail_fetch_block_server_pattern
77400,sqspell_makeDummy_0_,SQSPELL_APP_DEFAULT;SQSPELL_VERSION
79378,delete_move_next_read_0_,sort;passed_id;what;delete_move_next_formATtop;startMessage;color;delete_move_next_formATbottom;mbx_response;uid_support;mailbox;base_uri;delete_id;passed_ent_id;delete_move_next_show_unread;imapConnection;auto_expunge;move_to_trash;where;move_id;currentArrayIndex
171541,save_0_,
46616,attachment_common_parse_0_,attachment_common_types;attachment_common_types_parsed
187930,charset_decode_us_ascii_0_,
130587,quoteimap_0_,
169504,createWidget_String_0_,
141217,getEntity_0_,
24100,SendMDN_0_,username;default_charset;domain;pop_before_smtp;data_dir;attachments;sent_folder;languages;color;popuser;sendmail_path;default_move_to_sent;attachment_dir;version;squirrelmail_language;useSendmail;sendmail_args;smtpPort;smtpServerAddress;pop_before_smtp_host
193457,charset_decode_iso_8859_8_0_,
218665,htmlAdd_0_,
124459,isSpecialMailbox_0_,subfolders_of_inbox_are_special
144941,sq_check_save_extension_0_,
130607,TrimArray_0_,
138801,simpleWalkTreePre_0_,
161330,sqimap_messages_delete_0_,uid_support;auto_expunge;trash_folder;move_to_trash
175520,modify_0_,
208595,textdomain_0_,
151095,is_logged_in_0_,session_expired_location;domain;session_expired_post;check_referrer;squirrelmail_language
162399,sqimap_fread_0_,
171565,changed_0_,
77375,sqspell_deleteWords_0_,SQSPELL_WORDS_FILE
210187,setKey_0_,
177732,getServerSortMessages_0_,
149061,sq_body2div_0_,
136774,set_url_var_0_,
81480,sent_subfolders_update_sentfolder_0_,use_sent_subfolders;data_dir;sent_folder;sent_subfolders_setting;auto_create_done;move_to_sent;auto_create_special;imapPort;imapServerAddress;imap_server_type;sent_subfolders_base
93773,test_menuline_do_0_,
91726,squirrelmail_plugin_init_message_details_0_,squirrelmail_plugin_hooks
171600,save_option_0_,data_dir
120402,add_backend_0_,
85588,select_option_minute_0_,
194135,charset_decode_cp1251_0_,
56920,save_option_signature_0_,username;data_dir
187995,charset_decode_iso_8859_4_0_,
69214,hex2bin_0_,
91744,show_message_details_0_,color;passed_id;javascript_on;passed_ent_id;mailbox
9826,getforwardHeader_0_,editor_size
93795,adm_check_user_0_,plugins
185956,charset_decode_iso_8859_1_0_,
61030,filters_SaveCache_0_,data_dir;SpamFilters_DNScache
